"Субъект","Пункт ФПСР","Наименование статистического показателя","Значение статистического показателя (за январь - ноябрь 2022 г.)"
"Смоленская область","3_4","Количество предварительно расследованных преступлений в отчетном периоде (из числа находившихся в производстве или зарегистрированных в отчетном периоде), в том числе тяжких и особо тяжких",1447
"Смоленская область","3_4","Количество предварительно расследованных преступлений в отчетном периоде (из числа находившихся в производстве или зарегистрированных в отчетном периоде), в том числе экономической направленности",254
"Смоленская область","3_4","Число тяжких и особо тяжких преступлений, совершенных на улицах, площадях, в парках, скверах, по отношению к 2011 году (%)","-7,345971564"
"Смоленская область","3_4","Количество тяжких и особо тяжких преступлений, уголовные дела о которых впервые приостановлены по п.п. 1-3 ч. 1 ст. 208 УПК РФ (остаток нераскрытых тяжких и особо тяжких преступлений), по отношению к 2011 году (%)","33,79022646"
"Смоленская область","3_4","Количество преступлений, предусмотренных ст.ст. 105-107 УК РФ, в том числе с применением ч. 3 ст. 30 УК РФ, уголовные дела о которых впервые приостановлены по п.п. 1-3 ч. 1 ст. 208 УПК РФ (остаток нераскрытых убийств), по отношению к 2011 году (%)",-100
"Смоленская область","3_4","Количество преступлений, предусмотренных ст. 111 УК РФ, уголовные дела о которых впервые приостановлены по п.п. 1-3 ч. 1 ст. 208 УПК РФ (остаток нераскрытых умышленных причинений тяжкого вреда здоровью), по отношению к 2011 году (%)","-92,85714286"
"Смоленская область","3_4","Количество преступлений, предусмотренных ст. 162 УК РФ, уголовные дела о которых впервые приостановлены по п.п. 1-3 ч. 1 ст. 208 УПК РФ (остаток нераскрытых разбоев), по отношению к 2011 году (%)","-83,33333333"
"Смоленская область","3_4","Доля несовершеннолетних участников преступлений от численности детского населения в возрасте от 14 до 17 лет (%)","0,603182004"
"Тамбовская область","3_4","Количество преступлений, зарегистрированных в отчетном периоде",12914
"Тамбовская область","3_4","Количество преступлений, зарегистрированных в отчетном периоде, в том числе тяжких и особо тяжких",3215
"Тамбовская область","3_4","Количество преступлений, зарегистрированных в отчетном периоде, в том числе экономической направленности",661
"Тамбовская область","3_4","Количество предварительно расследованных преступлений в отчетном периоде (из числа находившихся в производстве или зарегистрированных в отчетном периоде) ",7889
"Тамбовская область","3_4","Количество предварительно расследованных преступлений в отчетном периоде (из числа находившихся в производстве или зарегистрированных в отчетном периоде), в том числе тяжких и особо тяжких",1591
"Тамбовская область","3_4","Количество предварительно расследованных преступлений в отчетном периоде (из числа находившихся в производстве или зарегистрированных в отчетном периоде), в том числе экономической направленности",342
"Тамбовская область","3_4","Число тяжких и особо тяжких преступлений, совершенных на улицах, площадях, в парках, скверах, по отношению к 2011 году (%)","128,4153005"
"Тамбовская область","3_4","Количество тяжких и особо тяжких преступлений, уголовные дела о которых впервые приостановлены по п.п. 1-3 ч. 1 ст. 208 УПК РФ (остаток нераскрытых тяжких и особо тяжких преступлений), по отношению к 2011 году (%)","41,61248375"
"Тамбовская область","3_4","Количество преступлений, предусмотренных ст.ст. 105-107 УК РФ, в том числе с применением ч. 3 ст. 30 УК РФ, уголовные дела о которых впервые приостановлены по п.п. 1-3 ч. 1 ст. 208 УПК РФ (остаток нераскрытых убийств), по отношению к 2011 году (%)",-100
"Тамбовская область","3_4","Количество преступлений, предусмотренных ст. 111 УК РФ, уголовные дела о которых впервые приостановлены по п.п. 1-3 ч. 1 ст. 208 УПК РФ (остаток нераскрытых умышленных причинений тяжкого вреда здоровью), по отношению к 2011 году (%)",-80
"Тамбовская область","3_4","Количество преступлений, предусмотренных ст. 162 УК РФ, уголовные дела о которых впервые приостановлены по п.п. 1-3 ч. 1 ст. 208 УПК РФ (остаток нераскрытых разбоев), по отношению к 2011 году (%)",-100
"Тамбовская область","3_4","Доля несовершеннолетних участников преступлений от численности детского населения в возрасте от 14 до 17 лет (%)","0,40870103"
"Тверская область","3_4","Количество преступлений, зарегистрированных в отчетном периоде",20100
"Тверская область","3_4","Количество преступлений, зарегистрированных в отчетном периоде, в том числе тяжких и особо тяжких",5876
"Тверская область","3_4","Количество преступлений, зарегистрированных в отчетном периоде, в том числе экономической направленности",1842
"Тверская область","3_4","Количество предварительно расследованных преступлений в отчетном периоде (из числа находившихся в производстве или зарегистрированных в отчетном периоде) ",6833
"Тверская область","3_4","Количество предварительно расследованных преступлений в отчетном периоде (из числа находившихся в производстве или зарегистрированных в отчетном периоде), в том числе тяжких и особо тяжких",1519
"Тверская область","3_4","Количество предварительно расследованных преступлений в отчетном периоде (из числа находившихся в производстве или зарегистрированных в отчетном периоде), в том числе экономической направленности",419
"Тверская область","3_4","Число тяжких и особо тяжких преступлений, совершенных на улицах, площадях, в парках, скверах, по отношению к 2011 году (%)","-69,88335101"
"Тверская область","3_4","Количество тяжких и особо тяжких преступлений, уголовные дела о которых впервые приостановлены по п.п. 1-3 ч. 1 ст. 208 УПК РФ (остаток нераскрытых тяжких и особо тяжких преступлений), по отношению к 2011 году (%)","31,27625202"
"Тверская область","3_4","Количество преступлений, предусмотренных ст.ст. 105-107 УК РФ, в том числе с применением ч. 3 ст. 30 УК РФ, уголовные дела о которых впервые приостановлены по п.п. 1-3 ч. 1 ст. 208 УПК РФ (остаток нераскрытых убийств), по отношению к 2011 году (%)","-90,90909091"
"Тверская область","3_4","Количество преступлений, предусмотренных ст. 111 УК РФ, уголовные дела о которых впервые приостановлены по п.п. 1-3 ч. 1 ст. 208 УПК РФ (остаток нераскрытых умышленных причинений тяжкого вреда здоровью), по отношению к 2011 году (%)",-100
"Тверская область","3_4","Количество преступлений, предусмотренных ст. 162 УК РФ, уголовные дела о которых впервые приостановлены по п.п. 1-3 ч. 1 ст. 208 УПК РФ (остаток нераскрытых разбоев), по отношению к 2011 году (%)","-98,66666667"
"Тверская область","3_4","Доля несовершеннолетних участников преступлений от численности детского населения в возрасте от 14 до 17 лет (%)","0,364621527"
"Тульская область","3_4","Количество преступлений, зарегистрированных в отчетном периоде",14800
"Тульская область","3_4","Количество преступлений, зарегистрированных в отчетном периоде, в том числе тяжких и особо тяжких",4242
"Тульская область","3_4","Количество преступлений, зарегистрированных в отчетном периоде, в том числе экономической направленности",920
"Тульская область","3_4","Количество предварительно расследованных преступлений в отчетном периоде (из числа находившихся в производстве или зарегистрированных в отчетном периоде) ",6832
"Тульская область","3_4","Количество предварительно расследованных преступлений в отчетном периоде (из числа находившихся в производстве или зарегистрированных в отчетном периоде), в том числе тяжких и особо тяжких",1706
"Тульская область","3_4","Количество предварительно расследованных преступлений в отчетном периоде (из числа находившихся в производстве или зарегистрированных в отчетном периоде), в том числе экономической направленности",559
"Тульская область","3_4","Число тяжких и особо тяжких преступлений, совершенных на улицах, площадях, в парках, скверах, по отношению к 2011 году (%)","-36,33633634"
"Тульская область","3_4","Количество тяжких и особо тяжких преступлений, уголовные дела о которых впервые приостановлены по п.п. 1-3 ч. 1 ст. 208 УПК РФ (остаток нераскрытых тяжких и особо тяжких преступлений), по отношению к 2011 году (%)","63,42254663"
"Тульская область","3_4","Количество преступлений, предусмотренных ст.ст. 105-107 УК РФ, в том числе с применением ч. 3 ст. 30 УК РФ, уголовные дела о которых впервые приостановлены по п.п. 1-3 ч. 1 ст. 208 УПК РФ (остаток нераскрытых убийств), по отношению к 2011 году (%)",-60
"Тульская область","3_4","Количество преступлений, предусмотренных ст. 111 УК РФ, уголовные дела о которых впервые приостановлены по п.п. 1-3 ч. 1 ст. 208 УПК РФ (остаток нераскрытых умышленных причинений тяжкого вреда здоровью), по отношению к 2011 году (%)","-95,45454545"
"Тульская область","3_4","Количество преступлений, предусмотренных ст. 162 УК РФ, уголовные дела о которых впервые приостановлены по п.п. 1-3 ч. 1 ст. 208 УПК РФ (остаток нераскрытых разбоев), по отношению к 2011 году (%)","-92,85714286"
"Тульская область","3_4","Доля несовершеннолетних участников преступлений от численности детского населения в возрасте от 14 до 17 лет (%)","0,298106149"
"Ярославская область","3_4","Количество преступлений, зарегистрированных в отчетном периоде",17104
"Ярославская область","3_4","Количество преступлений, зарегистрированных в отчетном периоде, в том числе тяжких и особо тяжких",3852
"Ярославская область","3_4","Количество преступлений, зарегистрированных в отчетном периоде, в том числе экономической направленности",727
"Ярославская область","3_4","Количество предварительно расследованных преступлений в отчетном периоде (из числа находившихся в производстве или зарегистрированных в отчетном периоде) ",7420
"Ярославская область","3_4","Количество предварительно расследованных преступлений в отчетном периоде (из числа находившихся в производстве или зарегистрированных в отчетном периоде), в том числе тяжких и особо тяжких",1644
"Ярославская область","3_4","Количество предварительно расследованных преступлений в отчетном периоде (из числа находившихся в производстве или зарегистрированных в отчетном периоде), в том числе экономической направленности",262
"Ярославская область","3_4","Число тяжких и особо тяжких преступлений, совершенных на улицах, площадях, в парках, скверах, по отношению к 2011 году (%)","-63,57142857"
"Ярославская область","3_4","Количество тяжких и особо тяжких преступлений, уголовные дела о которых впервые приостановлены по п.п. 1-3 ч. 1 ст. 208 УПК РФ (остаток нераскрытых тяжких и особо тяжких преступлений), по отношению к 2011 году (%)","-18,58325667"
"Ярославская область","3_4","Количество преступлений, предусмотренных ст.ст. 105-107 УК РФ, в том числе с применением ч. 3 ст. 30 УК РФ, уголовные дела о которых впервые приостановлены по п.п. 1-3 ч. 1 ст. 208 УПК РФ (остаток нераскрытых убийств), по отношению к 2011 году (%)",-100
"Ярославская область","3_4","Количество преступлений, предусмотренных ст. 111 УК РФ, уголовные дела о которых впервые приостановлены по п.п. 1-3 ч. 1 ст. 208 УПК РФ (остаток нераскрытых умышленных причинений тяжкого вреда здоровью), по отношению к 2011 году (%)",-100
"Ярославская область","3_4","Количество преступлений, предусмотренных ст. 162 УК РФ, уголовные дела о которых впервые приостановлены по п.п. 1-3 ч. 1 ст. 208 УПК РФ (остаток нераскрытых разбоев), по отношению к 2011 году (%)","-97,61904762"
"Ярославская область","3_4","Доля несовершеннолетних участников преступлений от численности детского населения в возрасте от 14 до 17 лет (%)","0,37020643"
"Северо-Западный фед.округ","3_4","Количество преступлений, зарегистрированных в отчетном периоде",182573
"Северо-Западный фед.округ","3_4","Количество преступлений, зарегистрированных в отчетном периоде, в том числе тяжких и особо тяжких",49707
"Северо-Западный фед.округ","3_4","Количество преступлений, зарегистрированных в отчетном периоде, в том числе экономической направленности",7607
"Северо-Западный фед.округ","3_4","Количество предварительно расследованных преступлений в отчетном периоде (из числа находившихся в производстве или зарегистрированных в отчетном периоде) ",86331
"Северо-Западный фед.округ","3_4","Количество предварительно расследованных преступлений в отчетном периоде (из числа находившихся в производстве или зарегистрированных в отчетном периоде), в том числе тяжких и особо тяжких",22488
"Северо-Западный фед.округ","3_4","Количество предварительно расследованных преступлений в отчетном периоде (из числа находившихся в производстве или зарегистрированных в отчетном периоде), в том числе экономической направленности",5049
"Северо-Западный фед.округ","3_4","Число тяжких и особо тяжких преступлений, совершенных на улицах, площадях, в парках, скверах, по отношению к 2011 году (%)","-59,9372989"
"Северо-Западный фед.округ","3_4","Количество тяжких и особо тяжких преступлений, уголовные дела о которых впервые приостановлены по п.п. 1-3 ч. 1 ст. 208 УПК РФ (остаток нераскрытых тяжких и особо тяжких преступлений), по отношению к 2011 году (%)","-16,28500459"
"Северо-Западный фед.округ","3_4","Количество преступлений, предусмотренных ст.ст. 105-107 УК РФ, в том числе с применением ч. 3 ст. 30 УК РФ, уголовные дела о которых впервые приостановлены по п.п. 1-3 ч. 1 ст. 208 УПК РФ (остаток нераскрытых убийств), по отношению к 2011 году (%)","-88,48920863"
"Северо-Западный фед.округ","3_4","Количество преступлений, предусмотренных ст. 111 УК РФ, уголовные дела о которых впервые приостановлены по п.п. 1-3 ч. 1 ст. 208 УПК РФ (остаток нераскрытых умышленных причинений тяжкого вреда здоровью), по отношению к 2011 году (%)","-93,8215103"
"Северо-Западный фед.округ","3_4","Количество преступлений, предусмотренных ст. 162 УК РФ, уголовные дела о которых впервые приостановлены по п.п. 1-3 ч. 1 ст. 208 УПК РФ (остаток нераскрытых разбоев), по отношению к 2011 году (%)","-95,7841484"
"Северо-Западный фед.округ","3_4","Доля несовершеннолетних участников преступлений от численности детского населения в возрасте от 14 до 17 лет (%)","0,395425559"
"Республика Карелия","3_4","Количество преступлений, зарегистрированных в отчетном периоде",11093
"Республика Карелия","3_4","Количество преступлений, зарегистрированных в отчетном периоде, в том числе тяжких и особо тяжких",2483
"Республика Карелия","3_4","Количество преступлений, зарегистрированных в отчетном периоде, в том числе экономической направленности",426
"Республика Карелия","3_4","Количество предварительно расследованных преступлений в отчетном периоде (из числа находившихся в производстве или зарегистрированных в отчетном периоде) ",6347
"Республика Карелия","3_4","Количество предварительно расследованных преступлений в отчетном периоде (из числа находившихся в производстве или зарегистрированных в отчетном периоде), в том числе тяжких и особо тяжких",1175
"Республика Карелия","3_4","Количество предварительно расследованных преступлений в отчетном периоде (из числа находившихся в производстве или зарегистрированных в отчетном периоде), в том числе экономической направленности",241
"Республика Карелия","3_4","Число тяжких и особо тяжких преступлений, совершенных на улицах, площадях, в парках, скверах, по отношению к 2011 году (%)","-46,875"
"Республика Карелия","3_4","Количество тяжких и особо тяжких преступлений, уголовные дела о которых впервые приостановлены по п.п. 1-3 ч. 1 ст. 208 УПК РФ (остаток нераскрытых тяжких и особо тяжких преступлений), по отношению к 2011 году (%)","26,1878453"
"Республика Карелия","3_4","Количество преступлений, предусмотренных ст.ст. 105-107 УК РФ, в том числе с применением ч. 3 ст. 30 УК РФ, уголовные дела о которых впервые приостановлены по п.п. 1-3 ч. 1 ст. 208 УПК РФ (остаток нераскрытых убийств), по отношению к 2011 году (%)","-66,66666667"
"Республика Карелия","3_4","Количество преступлений, предусмотренных ст. 111 УК РФ, уголовные дела о которых впервые приостановлены по п.п. 1-3 ч. 1 ст. 208 УПК РФ (остаток нераскрытых умышленных причинений тяжкого вреда здоровью), по отношению к 2011 году (%)","-94,11764706"
"Республика Карелия","3_4","Количество преступлений, предусмотренных ст. 162 УК РФ, уголовные дела о которых впервые приостановлены по п.п. 1-3 ч. 1 ст. 208 УПК РФ (остаток нераскрытых разбоев), по отношению к 2011 году (%)","-92,30769231"
"Республика Карелия","3_4","Доля несовершеннолетних участников преступлений от численности детского населения в возрасте от 14 до 17 лет (%)","0,75321056"
"Республика Коми","3_4","Количество преступлений, зарегистрированных в отчетном периоде",13751
"Республика Коми","3_4","Количество преступлений, зарегистрированных в отчетном периоде, в том числе тяжких и особо тяжких",3278
"Республика Коми","3_4","Количество преступлений, зарегистрированных в отчетном периоде, в том числе экономической направленности",401
"Республика Коми","3_4","Количество предварительно расследованных преступлений в отчетном периоде (из числа находившихся в производстве или зарегистрированных в отчетном периоде) ",8336
"Республика Коми","3_4","Количество предварительно расследованных преступлений в отчетном периоде (из числа находившихся в производстве или зарегистрированных в отчетном периоде), в том числе тяжких и особо тяжких",1807
"Республика Коми","3_4","Количество предварительно расследованных преступлений в отчетном периоде (из числа находившихся в производстве или зарегистрированных в отчетном периоде), в том числе экономической направленности",383
"Республика Коми","3_4","Число тяжких и особо тяжких преступлений, совершенных на улицах, площадях, в парках, скверах, по отношению к 2011 году (%)","-42,82115869"
"Республика Коми","3_4","Количество тяжких и особо тяжких преступлений, уголовные дела о которых впервые приостановлены по п.п. 1-3 ч. 1 ст. 208 УПК РФ (остаток нераскрытых тяжких и особо тяжких преступлений), по отношению к 2011 году (%)","76,57894737"
"Республика Коми","3_4","Количество преступлений, предусмотренных ст.ст. 105-107 УК РФ, в том числе с применением ч. 3 ст. 30 УК РФ, уголовные дела о которых впервые приостановлены по п.п. 1-3 ч. 1 ст. 208 УПК РФ (остаток нераскрытых убийств), по отношению к 2011 году (%)",-100
"Республика Коми","3_4","Количество преступлений, предусмотренных ст. 111 УК РФ, уголовные дела о которых впервые приостановлены по п.п. 1-3 ч. 1 ст. 208 УПК РФ (остаток нераскрытых умышленных причинений тяжкого вреда здоровью), по отношению к 2011 году (%)","-83,33333333"
"Республика Коми","3_4","Количество преступлений, предусмотренных ст. 162 УК РФ, уголовные дела о которых впервые приостановлены по п.п. 1-3 ч. 1 ст. 208 УПК РФ (остаток нераскрытых разбоев), по отношению к 2011 году (%)",-100
"Республика Коми","3_4","Доля несовершеннолетних участников преступлений от численности детского населения в возрасте от 14 до 17 лет (%)","0,736927379"
"Архангельская область","3_4","Количество преступлений, зарегистрированных в отчетном периоде",16234
"Архангельская область","3_4","Количество преступлений, зарегистрированных в отчетном периоде, в том числе тяжких и особо тяжких",4672
"Архангельская область","3_4","Количество преступлений, зарегистрированных в отчетном периоде, в том числе экономической направленности",799
"Архангельская область","3_4","Количество предварительно расследованных преступлений в отчетном периоде (из числа находившихся в производстве или зарегистрированных в отчетном периоде) ",8532
"Архангельская область","3_4","Количество предварительно расследованных преступлений в отчетном периоде (из числа находившихся в производстве или зарегистрированных в отчетном периоде), в том числе тяжких и особо тяжких",2211
"Архангельская область","3_4","Количество предварительно расследованных преступлений в отчетном периоде (из числа находившихся в производстве или зарегистрированных в отчетном периоде), в том числе экономической направленности",604
"Архангельская область","3_4","Число тяжких и особо тяжких преступлений, совершенных на улицах, площадях, в парках, скверах, по отношению к 2011 году (%)","-35,95113438"
"Архангельская область","3_4","Количество тяжких и особо тяжких преступлений, уголовные дела о которых впервые приостановлены по п.п. 1-3 ч. 1 ст. 208 УПК РФ (остаток нераскрытых тяжких и особо тяжких преступлений), по отношению к 2011 году (%)","61,17297699"
"Архангельская область","3_4","Количество преступлений, предусмотренных ст.ст. 105-107 УК РФ, в том числе с применением ч. 3 ст. 30 УК РФ, уголовные дела о которых впервые приостановлены по п.п. 1-3 ч. 1 ст. 208 УПК РФ (остаток нераскрытых убийств), по отношению к 2011 году (%)",-80
"Архангельская область","3_4","Количество преступлений, предусмотренных ст. 111 УК РФ, уголовные дела о которых впервые приостановлены по п.п. 1-3 ч. 1 ст. 208 УПК РФ (остаток нераскрытых умышленных причинений тяжкого вреда здоровью), по отношению к 2011 году (%)","-94,28571429"
"Архангельская область","3_4","Количество преступлений, предусмотренных ст. 162 УК РФ, уголовные дела о которых впервые приостановлены по п.п. 1-3 ч. 1 ст. 208 УПК РФ (остаток нераскрытых разбоев), по отношению к 2011 году (%)","-98,07692308"
"Архангельская область","3_4","Доля несовершеннолетних участников преступлений от численности детского населения в возрасте от 14 до 17 лет (%)","0,547929064"
"Ненецкий автономный округ","3_4","Количество преступлений, зарегистрированных в отчетном периоде",630
"Ненецкий автономный округ","3_4","Количество преступлений, зарегистрированных в отчетном периоде, в том числе тяжких и особо тяжких",173
"Ненецкий автономный округ","3_4","Количество преступлений, зарегистрированных в отчетном периоде, в том числе экономической направленности",71
"Ненецкий автономный округ","3_4","Количество предварительно расследованных преступлений в отчетном периоде (из числа находившихся в производстве или зарегистрированных в отчетном периоде) ",411
"Ненецкий автономный округ","3_4","Количество предварительно расследованных преступлений в отчетном периоде (из числа находившихся в производстве или зарегистрированных в отчетном периоде), в том числе тяжких и особо тяжких",101
"Ненецкий автономный округ","3_4","Количество предварительно расследованных преступлений в отчетном периоде (из числа находившихся в производстве или зарегистрированных в отчетном периоде), в том числе экономической направленности",66
"Ненецкий автономный округ","3_4","Число тяжких и особо тяжких преступлений, совершенных на улицах, площадях, в парках, скверах, по отношению к 2011 году (%)",-10
"Ненецкий автономный округ","3_4","Количество тяжких и особо тяжких преступлений, уголовные дела о которых впервые приостановлены по п.п. 1-3 ч. 1 ст. 208 УПК РФ (остаток нераскрытых тяжких и особо тяжких преступлений), по отношению к 2011 году (%)",100
"Ненецкий автономный округ","3_4","Количество преступлений, предусмотренных ст.ст. 105-107 УК РФ, в том числе с применением ч. 3 ст. 30 УК РФ, уголовные дела о которых впервые приостановлены по п.п. 1-3 ч. 1 ст. 208 УПК РФ (остаток нераскрытых убийств), по отношению к 2011 году (%)",100
"Ненецкий автономный округ","3_4","Количество преступлений, предусмотренных ст. 111 УК РФ, уголовные дела о которых впервые приостановлены по п.п. 1-3 ч. 1 ст. 208 УПК РФ (остаток нераскрытых умышленных причинений тяжкого вреда здоровью), по отношению к 2011 году (%)",-100
"Ненецкий автономный округ","3_4","Количество преступлений, предусмотренных ст. 162 УК РФ, уголовные дела о которых впервые приостановлены по п.п. 1-3 ч. 1 ст. 208 УПК РФ (остаток нераскрытых разбоев), по отношению к 2011 году (%)",-100
"Ненецкий автономный округ","3_4","Доля несовершеннолетних участников преступлений от численности детского населения в возрасте от 14 до 17 лет (%)","0,718512257"
"Вологодская область","3_4","Количество преступлений, зарегистрированных в отчетном периоде",16241
"Вологодская область","3_4","Количество преступлений, зарегистрированных в отчетном периоде, в том числе тяжких и особо тяжких",4121
"Вологодская область","3_4","Количество преступлений, зарегистрированных в отчетном периоде, в том числе экономической направленности",769
"Вологодская область","3_4","Количество предварительно расследованных преступлений в отчетном периоде (из числа находившихся в производстве или зарегистрированных в отчетном периоде) ",8044
"Вологодская область","3_4","Количество предварительно расследованных преступлений в отчетном периоде (из числа находившихся в производстве или зарегистрированных в отчетном периоде), в том числе тяжких и особо тяжких",1750
"Вологодская область","3_4","Количество предварительно расследованных преступлений в отчетном периоде (из числа находившихся в производстве или зарегистрированных в отчетном периоде), в том числе экономической направленности",486
"Вологодская область","3_4","Число тяжких и особо тяжких преступлений, совершенных на улицах, площадях, в парках, скверах, по отношению к 2011 году (%)","-68,29545455"
"Вологодская область","3_4","Количество тяжких и особо тяжких преступлений, уголовные дела о которых впервые приостановлены по п.п. 1-3 ч. 1 ст. 208 УПК РФ (остаток нераскрытых тяжких и особо тяжких преступлений), по отношению к 2011 году (%)","15,36328342"
"Вологодская область","3_4","Количество преступлений, предусмотренных ст.ст. 105-107 УК РФ, в том числе с применением ч. 3 ст. 30 УК РФ, уголовные дела о которых впервые приостановлены по п.п. 1-3 ч. 1 ст. 208 УПК РФ (остаток нераскрытых убийств), по отношению к 2011 году (%)",-100
"Вологодская область","3_4","Количество преступлений, предусмотренных ст. 111 УК РФ, уголовные дела о которых впервые приостановлены по п.п. 1-3 ч. 1 ст. 208 УПК РФ (остаток нераскрытых умышленных причинений тяжкого вреда здоровью), по отношению к 2011 году (%)",-100
"Вологодская область","3_4","Количество преступлений, предусмотренных ст. 162 УК РФ, уголовные дела о которых впервые приостановлены по п.п. 1-3 ч. 1 ст. 208 УПК РФ (остаток нераскрытых разбоев), по отношению к 2011 году (%)","-85,71428571"
"Вологодская область","3_4","Доля несовершеннолетних участников преступлений от численности детского населения в возрасте от 14 до 17 лет (%)","0,457855578"
"Калининградская область","3_4","Количество преступлений, зарегистрированных в отчетном периоде",11751
"Калининградская область","3_4","Количество преступлений, зарегистрированных в отчетном периоде, в том числе тяжких и особо тяжких",2693
"Калининградская область","3_4","Количество преступлений, зарегистрированных в отчетном периоде, в том числе экономической направленности",539
